Ticker,Report Date,Return on assets,Return on equity,Earnings per share ,Operating profitability ,Accruals,Cash-based operating profitability
CMCSA,2017-12-31,0.07994,0.2116,3.21636,32831000000,15172000000,17659000000
CMCSA,2018-03-31,0.01634,0.04327,0.673,33508000000,14562000000,18946000000
CMCSA,2018-06-30,0.01682,0.044,0.69943,32156000000,14627000000,17529000000
CMCSA,2018-09-30,0.01438,0.03918,0.63234,32723000000,14821000000,17902000000
CMCSA,2018-12-31,0.00998,0.03402,0.55296,41926000000,21023000000,20903000000
CMCSA,2019-03-31,0.01387,0.04604,0.78363,39967000000,20803000000,19164000000
CMCSA,2019-06-30,0.01218,0.03948,0.68727,40105000000,22001000000,18104000000
CMCSA,2019-09-30,0.01255,0.03995,0.70688,39998000000,22006000000,17992000000
CMCSA,2019-12-31,0.012,0.03709,0.69342,42249000000,23072000000,19177000000
CSCO,2010-06-30,0.02764,0.04999,0.38248,14653000000,3778000000,10875000000
CSCO,2010-09-30,0.02385,0.04369,0.34013,15304000000,4114000000,11190000000
CSCO,2010-12-31,0.02412,0.04318,0.34495,15154000000,3568000000,11586000000
CSCO,2011-03-31,0.01855,0.03329,0.275,14984000000,3566000000,11418000000
CSCO,2011-06-30,0.02117,0.03828,0.32807,15342000000,3841000000,11501000000
CSCO,2011-09-30,0.01415,0.02607,0.22474,16600000000,4159000000,12441000000
CSCO,2011-12-31,0.02043,0.03764,0.32944,15936000000,3920000000,12016000000
CSCO,2012-03-31,0.02445,0.04429,0.40648,15858000000,3847000000,12011000000
CSCO,2012-06-30,0.02375,0.04214,0.40182,16007000000,3982000000,12025000000
CSCO,2012-09-30,0.02089,0.03737,0.35966,16404000000,4063000000,12341000000
CSCO,2012-12-31,0.02258,0.0397,0.39464,16464000000,3799000000,12665000000
CSCO,2013-03-31,0.03261,0.05661,0.59101,16652000000,3898000000,12754000000
CSCO,2013-06-30,0.02552,0.04363,0.465,16785000000,3967000000,12818000000
CSCO,2013-09-30,0.02243,0.03839,0.42288,16950000000,4403000000,12547000000
CSCO,2013-12-31,0.01981,0.03388,0.37114,17037000000,3796000000,13241000000
CSCO,2014-03-31,0.01452,0.02548,0.26993,15439000000,3297000000,12142000000
CSCO,2014-06-30,0.02141,0.03909,0.42407,16009000000,3864000000,12145000000
CSCO,2014-09-30,0.02139,0.03966,0.43878,17081000000,4372000000,12709000000
CSCO,2014-12-31,0.01758,0.03223,0.35759,17236000000,3754000000,13482000000
CSCO,2015-03-31,0.02285,0.04152,0.46844,16404000000,3682000000,12722000000
CSCO,2015-06-30,0.02294,0.04142,0.47766,16737000000,3924000000,12813000000
CSCO,2015-09-30,0.02045,0.03884,0.45605,17695000000,4215000000,13480000000
CSCO,2015-12-31,0.02174,0.04051,0.47835,17435000000,3852000000,13583000000
CSCO,2016-03-31,0.02794,0.05169,0.62071,16065000000,3999000000,12066000000
CSCO,2016-06-30,0.0198,0.03767,0.46681,16737000000,3904000000,12833000000
CSCO,2016-09-30,0.02312,0.04424,0.55924,17310000000,4524000000,12786000000
CSCO,2016-12-31,0.01839,0.03662,0.46191,17359000000,3647000000,13712000000
CSCO,2017-03-31,0.0186,0.03679,0.4682,15963000000,3536000000,12427000000
CSCO,2017-06-30,0.01997,0.03847,0.5025,16289000000,4064000000,12225000000
CSCO,2017-09-30,0.01867,0.03665,0.48548,16645000000,4378000000,12267000000
CSCO,2017-12-31,0.01834,0.03652,0.48276,16807000000,3925000000,12882000000
CSCO,2018-03-31,-0.06675,-0.16887,-1.7827,16312000000,6000000000,10312000000
